City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
583,Tabuk,GA,75.11,clear sky,17.4189,121.4443,Golden Berries Hotel and Convention
592,Aksu,GA,76.59,clear sky,41.1231,80.2644,Pudong Holiday Hotel
593,Broome,GA,89.71,few clouds,42.2506,-75.833,Chenango Valley State Park
594,Torrevieja,GA,81.72,clear sky,37.9787,-0.6822,Hotel Fontana Plaza
597,Paragominas,GA,76.73,clear sky,-2.9667,-47.4833,INOVA
598,Itaituba,GA,79.57,broken clouds,-4.2761,-55.9836,Hotel Campos
602,Nouadhibou,GA,75.18,few clouds,20.931,-17.0347,El Medina
603,Umm Lajj,GA,86.58,clear sky,25.0213,37.2685,Moon light Furnished Units
604,Orocue,GA,76.19,overcast clouds,4.7912,-71.3354,Hotel Brisas de San Miguel
605,Wewak,GA,80.4,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
608,Trapani,GA,82.27,clear sky,37.8333,12.6667,
614,Khowai,GA,77.56,overcast clouds,24.1,91.6333,RD GAMING
617,Carman,GA,80.94,clear sky,49.4992,-98.0016,"Bell Aura Bed, Breakfast & Bistro"
622,Wahiawa,GA,80.92,broken clouds,21.5028,-158.0236,The Inn At Schofield
632,Tucurui,GA,78.19,scattered clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
633,Qiongshan,GA,76.98,clear sky,20.0058,110.3542,Sun City Restaurant
641,Port Blair,GA,78.84,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
646,Mantua,GA,85.24,clear sky,45.1667,10.7833,Hotel la Favorita
652,Road Town,GA,82.49,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
655,Ambon,GA,76.23,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
656,Ruwi,GA,85.69,few clouds,23.5996,58.5507,Al Falaj Hotel
662,Beihai,GA,83.39,scattered clouds,21.4833,109.1,
664,Diapaga,GA,77.18,broken clouds,12.0708,1.7889,Hôtel GACILIE
667,Massakory,GA,85.66,broken clouds,12.996,15.7293,
669,Bar Harbor,GA,75.94,broken clouds,44.3876,-68.2039,Atlantic Oceanside Hotel & Event Center
672,Dhidhdhoo,GA,81.61,light rain,6.8833,73.1,Dhidhoo beach
673,Saint Anthony,GA,88.34,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
678,Banda Aceh,GA,79.97,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
679,Pangai,GA,80.71,few clouds,-19.8,-174.35,Ha'apai Beach Resort
680,Meulaboh,GA,77.4,overcast clouds,4.1363,96.1285,Kost Pria
686,Acarau,GA,79.32,broken clouds,-2.8856,-40.12,castelo pizzaria
689,Ternate,GA,79.77,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
690,Suez,GA,76.05,clear sky,29.9737,32.5263,Green House
694,Pamplona,GA,75.11,few clouds,42.8169,-1.6432,Hotel Albret
695,Nkayi,GA,75.4,scattered clouds,-4.1841,13.2884,Résidence privée du Maire NKAYI
696,Gonbad-E Qabus,GA,81.0,clear sky,37.25,55.1672,Samin Building
697,Pyinmana,GA,75.42,overcast clouds,19.7333,96.2167,Anh Mai Daung
698,Kahului,GA,84.22,broken clouds,20.8947,-156.47,Maui Seaside Hotel
702,Chardara,GA,82.2,clear sky,41.2547,67.9692,Жанаргул
704,Port-Gentil,GA,75.16,scattered clouds,-0.7193,8.7815,Fengshui Residence
