City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
316,Wasilla,GA,61.5814,-149.4394,58.84,80,100,11.5,light rain
317,Zaozhuang,GA,34.8647,117.5542,74.66,81,23,0.98,few clouds
318,Abnub,GA,27.2696,31.1511,85.33,27,0,18.07,clear sky
319,Pangoa,GA,-12.1167,-73,79.34,64,18,2.13,few clouds
320,Kieta,GA,-6.2167,155.6333,81.27,72,98,1.5,overcast clouds
321,Jorhat,GA,26.75,94.2167,78.24,94,100,4.85,overcast clouds
322,Arinos,GA,-15.9169,-46.1056,72.39,41,15,3.29,few clouds
323,Lima,GA,-12.0432,-77.0282,59.25,72,100,6.91,overcast clouds
324,Micheweni,GA,-4.9667,39.8333,74.91,77,3,15.75,clear sky
325,Tiksi,GA,71.6872,128.8694,41.41,82,90,8.32,overcast clouds
326,Nampula,GA,-15.1165,39.2666,64.35,88,0,0,clear sky
327,Camacha,GA,33.0833,-16.3333,67.42,68,75,12.66,broken clouds
328,Quatre Cocos,GA,-20.2078,57.7625,69.1,69,90,17.58,overcast clouds
329,Kaluga,GA,54.5,35.5,54.97,91,23,11.3,few clouds
330,Seoul,GA,37.5683,126.9778,74.64,89,21,1.12,few clouds
331,Ewa Beach,GA,21.3156,-158.0072,84.15,61,75,19.57,broken clouds
332,Zolotukhino,GA,52.0842,36.3772,55.47,97,33,11.56,scattered clouds
333,Mosquera,GA,4.7059,-74.2302,59.09,77,40,3.44,scattered clouds
334,Naze,GA,28.3667,129.4833,81.27,86,30,13.33,scattered clouds
335,Locri,GA,38.2414,16.2623,77.32,57,0,9.62,clear sky
336,Ketchikan,GA,55.3422,-131.6461,63.07,67,100,6.91,overcast clouds
337,Menongue,GA,-14.6585,17.691,52.5,42,5,3.44,clear sky
338,Clyde River,GA,70.4692,-68.5914,37.63,95,100,2.71,overcast clouds
339,Washington,GA,47.5001,-120.5015,94.78,20,67,6.15,broken clouds
340,Marzuq,GA,14.4,46.4667,77.49,60,7,6.6,clear sky
341,Maniitsoq,GA,65.4167,-52.9,46.83,86,97,13.65,overcast clouds
342,La Primavera,GA,5.4906,-70.4092,77.4,86,99,3.62,overcast clouds
343,Mapiripan,GA,2.8892,-72.1256,76.28,82,83,4.9,broken clouds
344,Talnakh,GA,69.4865,88.3972,52.21,81,12,5.5,few clouds
345,Chabahar,GA,25.2919,60.643,83.14,81,96,9.66,overcast clouds
346,Ludvika,GA,60.1496,15.1878,75,88,100,6.62,heavy intensity rain
347,Fare,GA,-16.7,-151.0167,76.78,74,8,11.43,clear sky
348,Chakia,GA,26.4167,85.05,81,86,100,8.48,overcast clouds
