City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
195,Plerin,FR,2022-07-19 22:10:58,48.5425,-2.7798,60.35,90,6,5.06
196,Umba,RU,2022-07-19 22:10:59,66.6871,34.3429,55.92,93,100,14.76
197,Rumonge,BI,2022-07-19 22:11:00,-3.9736,29.4386,72.91,52,13,3.13
198,Lasa,IT,2022-07-19 22:11:00,46.6166,10.7002,68.23,90,23,2.06
199,Xichang,CN,2022-07-19 22:11:01,27.8964,102.2634,64.8,97,100,2.82
200,Amurzet,RU,2022-07-19 22:11:01,47.6967,131.0981,64.09,94,85,3.33
201,Lompoc,US,2022-07-19 22:11:02,34.6391,-120.4579,98.78,57,9,5.99
202,Salamiyah,SY,2022-07-19 22:11:02,35.0113,37.0532,76.26,58,0,7.31
203,Tuatapere,NZ,2022-07-19 22:11:03,-46.1333,167.6833,42.87,88,97,3.04
204,Atakpame,TG,2022-07-19 22:11:04,7.5333,1.1333,68.63,89,90,4.7
205,Mahebourg,MU,2022-07-19 22:11:05,-20.4081,57.7,66.25,66,48,24.07
206,Rosarito,MX,2022-07-19 22:10:10,32.3333,-117.0333,89.64,62,48,9.73
207,Muros,ES,2022-07-19 22:11:06,42.7762,-9.0603,66.09,90,28,5.37
208,Chuy,UY,2022-07-19 22:11:06,-33.6971,-53.4616,46.22,84,0,5.79
209,Grindavik,IS,2022-07-19 22:11:07,63.8424,-22.4338,55.87,76,0,11.5
210,Yarada,IN,2022-07-19 22:11:07,17.65,83.2667,83.08,79,95,11.61
211,Meulaboh,ID,2022-07-19 22:11:08,4.1363,96.1285,75.06,86,95,3.62
212,Prince Rupert,CA,2022-07-19 22:10:07,54.3161,-130.3201,55.33,93,100,2.93
213,Hithadhoo,MV,2022-07-19 22:11:09,-0.6,73.0833,80.44,75,100,10.04
214,Kavaratti,IN,2022-07-19 22:11:10,10.5669,72.642,80.98,81,100,23.06
215,Codrington,AU,2022-07-19 22:11:11,-38.2667,141.9667,35.24,94,9,6.62
216,Geraldton,AU,2022-07-19 22:11:11,-28.7667,114.6,55.81,88,100,6.91
217,Sheridan,US,2022-07-19 22:11:12,44.8333,-106.9173,88.18,20,0,17.27
218,Tambacounda,SN,2022-07-19 22:11:12,13.7539,-13.7586,80.65,75,94,11.68
219,Port Lincoln,AU,2022-07-19 22:11:13,-34.7333,135.8667,49.96,67,98,8.75
220,Saldanha,ZA,2022-07-19 22:11:14,-33.0117,17.9442,55.29,70,0,16.58
221,Green River,US,2022-07-19 22:09:07,41.5286,-109.4662,88.2,23,26,5.99
222,Baykit,RU,2022-07-19 22:08:20,61.67,96.37,54.86,94,67,2.46
223,Moron,AR,2022-07-19 22:11:15,-34.6534,-58.6198,54.95,77,1,5.39
224,Walla Walla,US,2022-07-19 22:11:16,46.0646,-118.343,95.86,22,0,6.91
225,Hovd,MN,2022-07-19 22:11:16,48.0056,91.6419,55.62,61,95,2.06
226,Teya,RU,2022-07-19 22:11:17,60.3778,92.6267,53.24,99,92,3.09
227,Ciudad Bolivar,VE,2022-07-19 22:11:18,8.1222,-63.5497,81.05,79,83,4.05
228,Olinda,BR,2022-07-19 22:11:18,-8.0089,-34.8553,73.13,88,40,11.5
229,Cordoba,AR,2022-07-19 22:09:16,-31.4135,-64.1811,60.24,44,0,12.66
230,Koutiala,ML,2022-07-19 22:09:05,12.3917,-5.4642,75.38,87,100,11.23
231,Clyde River,CA,2022-07-19 22:11:19,70.4692,-68.5914,37.08,94,100,5.17
232,Eureka,US,2022-07-19 22:10:34,40.8021,-124.1637,70.12,73,52,8.01
233,Vila Franca Do Campo,PT,2022-07-19 22:12:21,37.7167,-25.4333,70.34,86,72,5.14
234,Gilgit,PK,2022-07-19 22:12:22,35.9221,74.3087,83.19,58,6,3.38
235,Karaton,ID,2022-07-19 22:12:22,-6.3424,106.1045,73.65,96,29,2.1
236,Kamaishi,JP,2022-07-19 22:11:04,39.2667,141.8833,73.09,96,100,2.55
237,Dukat,RU,2022-07-19 22:12:24,62.55,155.55,54.09,93,100,8.68
238,Coahuayana,MX,2022-07-19 22:12:24,18.7333,-103.6833,90.05,62,98,6.71
239,Bastia,FR,2022-07-19 22:11:06,42.6667,9.3333,81.3,67,0,2.93
240,Padang,ID,2022-07-19 22:12:25,-0.9492,100.3543,76.66,89,79,2.26
241,Magrath,CA,2022-07-19 22:12:26,49.4167,-112.8686,79.95,23,0,15.17
242,Upata,VE,2022-07-19 22:12:26,8.0086,-62.3989,73.18,94,88,3.04
243,Naze,JP,2022-07-19 22:12:27,28.3667,129.4833,81.01,86,100,14.38
244,Garowe,SO,2022-07-19 22:12:28,8.4054,48.4845,76.12,53,49,26.64
245,Poronaysk,RU,2022-07-19 22:12:28,49.2167,143.1167,56.75,93,100,2.21
246,Mutsu,JP,2022-07-19 22:12:29,41.2894,141.2169,65.62,98,100,5.68
